Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Belgium,0.258046668410569,9.997550230369844,5.089075266945743,1.842369587134993,1.5635826829636321,0.09032848061948645,0.28131682109154343,0.032662323635394265,6.567265640312136,12.291719915511116,0.6965883169904894,1.9935954265343263,1.5692160332625702,0.42437939258314716,0.01680642361178358,18.346316815410518,14.998710080366697,6.423807073959966
Bulgaria,5.1696547445896925,1.7748688282989007,2.632538670848993,0.0018758603566606917,0.1586082679223394,0.013862299711197807,0.11985215525453737,0.003859827426396821,2.6766653194787438,15.98901389207124,0.23219982871607095,2.2497542308110163,2.2497542308110163,0.0,0.0,9.599972090691871,18.4709679589094,2.4901050514136918
Czechia,1.8005210338179052,0.5438897322137053,2.147238147834679,2.17436363968303,2.2458762006015762,0.00879052846104774,0.19548756906510756,0.00949899060608991,3.4434401357763416,27.35222407546393,2.633863025755115,3.673275336091421,3.2441200596346365,0.42915527721747887,0.0,8.698111666513102,33.659362441113934,3.657217223984656
Denmark,0.02127250157489163,27.043304599364593,3.224470111110733,8.230938652437592,2.7270950383252006,0.374281606627825,0.47743030806582876,0.0,4.132515638248243,21.82584305225916,34.92497916035291,6.439140989406512,4.486096623432345,1.9530443659741685,0.0,40.39536898433962,63.18996320712634,4.984227552260863
Germany,2.0511418775112893,13.338057259162392,6.229444763132374,1.059245267292032,4.242636123516234,0.11295469403772289,0.5348409649521289,0.0,3.5069252332649072,17.597310317929775,2.456059970308441,2.0493786546493364,1.4047598941549206,0.6446187598937224,0.2766994606877576,26.272729629630167,22.379448405737808,4.154720892326842
Estonia,0.2203770042859417,4.623617240177926,3.847944848910794,9.705091515517392,0.29769276683516094,0.03771247683579167,0.0234797880456166,0.0,3.0704963920900803,33.58622491732968,28.379322824216324,8.525365649093406,5.883934327029064,2.641431319811743,0.0,18.63353111137141,70.49091338313075,3.1316886572718348
Greece,4.181076896248889,8.998586621594981,5.8691948560687015,0.042606794443708296,0.425640479027192,0.00528627283054274,0.05474408974297935,0.0,1.5368971418333575,11.504421354097055,0.0,4.425490618255715,4.425490618255715,0.0,0.0,19.457075281301275,15.929911971396729,1.5969275038428143
Spain,5.4643193679963815,11.613328398501858,6.475727944740793,0.8358472927215297,0.35278465515481,0.041522888958090746,0.25466319353533845,0.01799851460883906,3.047400039462067,8.93824798753051,0.0,2.5535170161347733,2.5052945516099974,0.048222465726473825,0.002404842392809564,24.427823072060985,11.494169845385562,3.3615846370576636
France,7.592206640669173,5.270612974363111,2.48839727177327,0.5921756016202575,0.815666685894057,0.044378090631730274,0.25899329435550855,0.036785099523845836,4.567672836743617,13.37274646623033,2.873919294317938,6.046557431515314,5.61461292426876,0.43194450709921667,0.24285377893731466,16.418902690619134,22.536076971442906,4.907829321181033
Croatia,15.184459047123413,5.040415759501127,0.338167208700504,1.6020087124139601,1.0728293475010389,0.014616671365933039,0.28993725197776976,0.041214220938014995,0.5437167701670376,27.640735985376608,2.739275598379724,0.3655995425011748,0.3655995425011748,0.0,0.0,22.892111930569957,30.74561113117685,0.889484914319299
Ireland,1.2975291102536677,18.948653615688844,0.2519990258900981,0.03661062080188079,0.6257127757211259,0.10515744291901746,0.03235974070376229,2.777310057462405e-07,4.556849291028228,3.5120319707257153,0.0,1.9829010332798156,1.962604793197792,0.020296239726292707,0.0,21.022987689337796,5.494933004005531,4.694366753465017
Italy,7.00542686393744,3.0636253470748573,4.096230072868038,0.6347714798474196,2.7670016481243573,0.033239416960148135,0.3093032690609049,0.15715129425508834,2.664686757524331,12.196838443511552,0.632395915489467,4.648763581474566,4.619066045472064,0.02969753717139685,0.5223150908367427,17.067361427086738,18.00031302656899,3.1643807375463644
Cyprus,0.0,2.223186907334435,5.720158383119359,0.0,0.5497200521717024,0.0,0.0,0.0,2.750067701626497,16.81924394139526,0.10600031612514577,5.3721146616853,5.284557676811779,0.08755698443138922,3.9649904786643155,8.49306534174123,26.262349406712683,2.750067701626497
Latvia,13.26255078882819,0.7333401618653161,0.1892087921303239,2.529070073575628,1.1443015497209925,0.08396688478305024,0.15806164343249152,0.0056258399675437705,0.8398742481035656,53.78292918539021,22.62846166640988,0.0,0.0,0.0,0.0,17.61081699815061,76.41139086779364,1.0874219928274291
Lithuania,1.337485713104571,5.818576192855448,1.0479945741230037,1.2067259160555355,0.9634195733567879,0.03590219529735944,0.007909605851465325,0.012914903289310968,4.2622981199558945,22.217008301502712,20.658567507888456,2.2562215778485943,1.7642423864878023,0.4919791913607921,0.0,10.317475265484866,45.131797385457865,4.319024824679134
Luxembourg,1.3178575390031253,4.40703605687662,3.6806449580645713,3.57508894060555,1.2130228471777837,0.0880747676236487,0.26045064820567804,0.0,19.78603420840196,6.693179267954453,15.95703371723141,0.8062650929582876,0.36322789383898596,0.4430371991193018,0.0,13.84512492620821,23.456478074735397,20.13455962764004
Hungary,0.21224607168327825,0.5775400459902508,4.19938426939388,1.2983303433477722,0.237834950216792,0.01289233387105597,0.1241679696893697,0.001056748677109426,3.1262223901100317,17.43208733400007,1.785414744127625,0.7977610720806357,0.7550683717944352,0.042692700306842496,0.0,6.387218629147869,20.015263148660182,3.2567984200656204
Malta,0.0,0.0009572705582460444,4.778298822775164,0.0,0.12195297607736323,0.01615773200427663,0.0,0.0,2.419904651122615,1.1181950288979616,0.0,3.573181236575548,3.573181236575548,0.0,5.217499219726242,4.8850513368306485,9.908875484431954,2.4360623835107904
