,Rank,Performance,Alternative
0,2,3800.0,$A_{1}$
1,2,3790.0,$A_{1}$
2,2,3780.0,$A_{1}$
3,2,3770.0,$A_{1}$
4,2,3760.0,$A_{1}$
5,2,3750.0,$A_{1}$
6,2,3740.0,$A_{1}$
7,1,3730.0,$A_{1}$
8,1,3720.0,$A_{1}$
9,1,3710.0,$A_{1}$
10,1,3700.0,$A_{1}$
11,1,3690.0,$A_{1}$
12,1,3680.0,$A_{1}$
13,1,3670.0,$A_{1}$
14,1,3660.0,$A_{1}$
15,1,3650.0,$A_{1}$
16,1,3640.0,$A_{1}$
17,1,3630.0,$A_{1}$
18,1,3620.0,$A_{1}$
19,1,3610.0,$A_{1}$
20,1,3600.0,$A_{1}$
21,1,3590.0,$A_{1}$
22,1,3580.0,$A_{1}$
23,1,3570.0,$A_{1}$
24,1,3560.0,$A_{1}$
25,1,3550.0,$A_{1}$
26,1,3540.0,$A_{1}$
27,1,3530.0,$A_{1}$
28,1,3520.0,$A_{1}$
29,1,3510.0,$A_{1}$
30,1,3500.0,$A_{1}$
31,1,3490.0,$A_{1}$
32,1,3480.0,$A_{1}$
33,1,3470.0,$A_{1}$
34,1,3460.0,$A_{1}$
35,1,3450.0,$A_{1}$
36,1,3440.0,$A_{1}$
37,1,3430.0,$A_{1}$
38,1,3420.0,$A_{1}$
39,1,3410.0,$A_{1}$
40,1,3400.0,$A_{1}$
41,1,3390.0,$A_{1}$
42,1,3380.0,$A_{1}$
43,1,3370.0,$A_{1}$
44,1,3360.0,$A_{1}$
45,1,3350.0,$A_{1}$
46,1,3340.0,$A_{1}$
47,1,3330.0,$A_{1}$
48,1,3320.0,$A_{1}$
49,1,3310.0,$A_{1}$
50,1,3300.0,$A_{1}$
51,1,3290.0,$A_{1}$
52,1,3280.0,$A_{1}$
53,1,3270.0,$A_{1}$
54,1,3260.0,$A_{1}$
55,1,3250.0,$A_{1}$
56,1,3240.0,$A_{1}$
57,1,3230.0,$A_{1}$
58,1,3220.0,$A_{1}$
59,1,3210.0,$A_{1}$
60,1,3200.0,$A_{1}$
61,1,3190.0,$A_{1}$
62,1,3180.0,$A_{1}$
63,1,3170.0,$A_{1}$
64,1,3160.0,$A_{1}$
65,1,3150.0,$A_{1}$
66,1,3140.0,$A_{1}$
67,1,3130.0,$A_{1}$
68,1,3120.0,$A_{1}$
69,1,3110.0,$A_{1}$
70,1,3100.0,$A_{1}$
71,1,3090.0,$A_{1}$
72,1,3080.0,$A_{1}$
73,1,3070.0,$A_{1}$
74,1,3060.0,$A_{1}$
75,1,3050.0,$A_{1}$
76,1,3040.0,$A_{1}$
77,1,3030.0,$A_{1}$
78,1,3020.0,$A_{1}$
79,1,3010.0,$A_{1}$
80,1,3000.0,$A_{1}$
81,4,3800.0,$A_{2}$
82,4,3790.0,$A_{2}$
83,4,3780.0,$A_{2}$
84,4,3770.0,$A_{2}$
85,4,3760.0,$A_{2}$
86,4,3750.0,$A_{2}$
87,4,3740.0,$A_{2}$
88,4,3730.0,$A_{2}$
89,4,3720.0,$A_{2}$
90,4,3710.0,$A_{2}$
91,4,3700.0,$A_{2}$
92,4,3690.0,$A_{2}$
93,4,3680.0,$A_{2}$
94,4,3670.0,$A_{2}$
95,4,3660.0,$A_{2}$
96,4,3650.0,$A_{2}$
