Ai,TOPSIS,CODAS,VIKOR,SPOTIS,EDAS,MABAC,MMOORA,WASPAS,Compromise
$A_{1}$,1,1,1,1,1,1,1,1,1
$A_{2}$,4,2,5,3,2,3,2,2,3
$A_{3}$,2,3,2,2,3,2,3,3,2
$A_{4}$,6,5,6,6,6,6,5,5,6
$A_{5}$,5,6,4,5,5,5,4,6,5
$A_{6}$,3,4,3,4,4,4,3,4,4
