,Rank,Performance,Alternative
0,2,30.0,$A_{1}$
1,2,35.0,$A_{1}$
2,1,40.0,$A_{1}$
3,1,45.0,$A_{1}$
4,1,50.0,$A_{1}$
5,1,55.0,$A_{1}$
6,1,60.0,$A_{1}$
7,6,30.0,$A_{2}$
8,6,35.0,$A_{2}$
9,6,40.0,$A_{2}$
10,6,45.0,$A_{2}$
11,5,50.0,$A_{2}$
12,4,55.0,$A_{2}$
13,4,60.0,$A_{2}$
14,2,30.0,$A_{3}$
15,2,35.0,$A_{3}$
16,2,40.0,$A_{3}$
17,1,45.0,$A_{3}$
18,1,50.0,$A_{3}$
19,1,55.0,$A_{3}$
20,1,60.0,$A_{3}$
21,6,30.0,$A_{4}$
22,6,35.0,$A_{4}$
23,6,40.0,$A_{4}$
24,6,45.0,$A_{4}$
25,6,50.0,$A_{4}$
26,5,55.0,$A_{4}$
27,4,60.0,$A_{4}$
28,6,30.0,$A_{5}$
29,6,35.0,$A_{5}$
30,5,40.0,$A_{5}$
31,5,45.0,$A_{5}$
32,4,50.0,$A_{5}$
33,4,55.0,$A_{5}$
34,3,60.0,$A_{5}$
35,3,30.0,$A_{6}$
36,3,35.0,$A_{6}$
37,2,40.0,$A_{6}$
38,2,45.0,$A_{6}$
39,1,50.0,$A_{6}$
40,1,55.0,$A_{6}$
41,1,60.0,$A_{6}$
