Country,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$
AT,4.390778963237205,0.06382235782363938,0.686482174329197,0.2228740399613251,0.7817114986432434,0.004629034519475843,0.014907678098154487,0.0,0.0
BE,4.191802276846905,0.6445184305295948,1.5244630760379794,0.32910902733375397,0.0,0.0,0.10301222105421375,0.0,0.0
BG,4.4649333318008,13.263768445594382,0.9624406471240511,2.642318351010897,0.0,0.0,0.0927383960552607,0.0,0.0
HR,2.873577475705979,3.459835585609832,0.04479433222977948,0.18587073488448727,0.010906039090426978,0.0,0.006459370791755035,0.0,0.0
CY,1.5563632780004812,0.07811526276583103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,4.05379963015573,1.4218756105573505,1.1354648468009767,1.1644086437854162,0.0,0.0,0.0916656537367384,0.0,0.0
DK,4.610049272422258,0.0,1.1028057998257053,0.2009713150863258,0.0,0.0,0.10925591146662117,0.0,0.0
EE,2.4691525490611963,1.2959258921282584,0.9097007618451004,0.7899611061921803,0.0,0.6361862858016637,0.18028772045784694,0.0,0.0
FI,8.72025417996102,0.0,2.2452752130745854,0.28686436333679716,0.0,0.039979659832858234,0.1594807177997586,0.0,0.0
FR,6.009271270149633,0.13761044908268188,1.5549523742741438,0.3872724687367883,0.0,0.0,0.06702957513089226,0.0,0.0
DE,3.544794076003101,0.6554914334478334,1.3510831212905834,0.2674797480653028,0.0033322905437845217,0.10674982419959012,0.054299608629711574,0.0,0.002416991336326506
EL,3.11359481303039,4.664763323354659,0.48823880960879756,0.34726407500640044,0.0,0.0,0.034239216830321974,0.0,0.0
HU,3.2311009259604733,0.4089200096226174,0.9429670272811921,0.19053524469132693,0.0,0.0,0.07620997507560702,0.0,0.0
IS,4.630583472084137,0.0,1.1457422469245235,0.0,0.0,0.38391049674784083,0.5806571397769605,0.0,0.0
IE,4.082849737367249,0.04106039154322293,0.6602430301308664,0.0,0.0,0.0,0.05875492491544054,0.0,0.0
IT,3.758753708482498,5.480210764919023,0.09184001081464709,2.896391215030428,0.0,7.24195117476518e-05,0.035431246122538645,0.0,0.0
LV,2.515534961315651,4.632938709603361,0.6989776005754823,0.01769684632632602,0.0,0.0,0.21944089444644266,0.0,0.0
LT,3.0896518102400528,5.104342332779619,0.47285089075920783,0.36218882667620983,0.0,0.0,0.15616024488412533,0.0,0.0
LU,5.258273614613845,0.015115898696335638,0.7979603364434023,0.0,0.0,0.0,0.03430326236660688,0.0,0.000889170511549155
MT,4.7653217937667085,0.34478684909449697,0.0,0.0,0.0,0.0,0.06081900003062828,0.0,0.0
NL,3.9698657561355573,1.3247018974674056,1.9064460940546408,0.611970529565162,0.0,0.0,0.4404161852372518,0.0,0.0
NO,12.312583933540798,0.1510436410333266,1.2520459948457092,0.9494885380209757,0.0,0.7138134405331782,2.170473612910999,0.0,0.0
PL,3.6242803806597883,9.664173398508876,0.8515059888803005,0.07799645392972482,0.1841039972114381,0.0,0.012823638916875726,0.0,0.0
PT,4.587696866535292,0.7193917643832112,0.14418133625888452,0.30840889862193643,0.03255309827812078,0.0,0.017844311989034817,0.0,0.0
RO,4.329258394415794,1.578906756035485,1.5658914132997273,0.0,0.7060943501886024,0.0,0.05359823798193989,0.0,0.0
RS,0.0,4.47133802048254,0.0,0.4022944136670953,0.0,0.0,0.0,0.0,0.0
SK,5.427477480508571,0.0,0.7853569968258768,0.0,0.0,0.0,0.08169834390648706,0.0,0.0
SI,4.783732003998116,0.7494362507859837,0.22318254731438408,0.23266174941834564,0.0,0.0,0.008952579764852593,0.0,0.0
ES,5.05798546160765,0.33510498390283383,0.4474516217573286,0.6703893195745693,0.09925395872467373,0.0,0.045969237998486685,0.0019280315156928315,0.0
SE,14.266983628301418,0.0,1.3857475641348531,0.13253089205959995,4.267436225377334,1.489506213511285,0.3375388940990578,0.04884661639041824,0.0
UA,0.0,26.041460780728695,1.1602255559595183,0.2654126240599256,0.0,0.0,0.0,0.0,0.0
UK,3.283336458024639,0.1744539391341238,1.0014616193946622,0.0,0.0,0.0,0.08168002689282225,0.0,0.0
