Country,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$
AT,4.750379879814156,0.15245217891557603,0.7144616962337184,0.21637203834441185,1.303059673959942,0.00510258318273626,0.015095141915594771,0.0,0.0
BE,4.591069435110869,0.7477203198646091,0.49673461355768056,0.06226484868995819,0.0,0.0,0.027475892845402083,0.0,0.0
BG,4.248028035569558,16.160894685602745,1.0726638520207235,2.4166491362820257,0.0,0.0,0.15423477017258053,0.0,0.0
HR,0.0,4.075077026520082,0.0,0.1872620787628198,0.04371498445120014,0.0,0.0,0.0,0.0
CY,1.3427091516029093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,3.9991183861257156,1.685874921194365,0.7872994210420852,0.7981568149517546,0.0,0.0,0.09657708855482551,0.0,0.0
DK,4.391731347009437,0.0,1.1114967837685314,0.0795734679828822,0.0,0.0,0.06590192082705772,0.0,0.0
EE,0.0,0.8112706586460492,0.2550163170596619,0.5481522606798044,0.0,0.0,0.194184299761055,0.0,0.0
FI,2.785038566106802,0.0,1.6937158569903419,0.10118342392938087,0.0,0.004886481408473262,0.02200195817427751,0.0,0.0
FR,5.871253450315226,0.18513863749234105,1.1145717630461351,0.24331363195732628,0.0,0.0,0.029591850585962642,0.0,0.0
DE,3.302941629940004,0.746585785206417,1.3859733926125308,0.3023862782164394,0.0016672088196537425,0.060575874022129,0.0172786842626168,0.0,0.002980880054782696
EL,2.882275863951317,5.134588351077439,0.0,0.37229928385405164,0.0,0.0,0.03884008351599758,0.0,0.0
HU,3.5164155665701524,0.6763262501840309,1.0756735535162192,0.19946508318201894,0.0,0.0,0.05064533542719733,0.0,0.0
IS,3.8034468134325476,0.0,0.9516649316934624,0.0,0.0,0.5449101026847103,0.1516495097094241,0.0,0.0
IE,2.1732999572029423,0.06458833614212779,0.6782155375363642,0.0,0.0,0.0,0.009603365789669058,0.0,0.0
IT,3.0588753787737226,5.326093656793028,0.09872203457124731,2.7107954939820913,0.0,7.280609746212506e-05,0.017998274010116163,0.0,0.0
LV,0.09210507230610795,6.4234222473637645,0.8620993325749429,0.0,0.0,0.0,0.24057140370616723,0.0,0.0
LT,2.736945241386689,7.076077561328576,0.3631428836889776,0.4369652314198273,0.0,0.0,0.17427930299540792,0.0,0.0
LU,4.249530475856707,0.04244614546183045,0.4671190379155612,0.0,0.0,0.0,0.005867399933079925,0.0,0.0026958324016853707
MT,3.514603720026891,0.5863897811309479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,1.1944581258304443,1.8292699532858137,1.2163763618330585,0.6077090662317045,0.0,0.0,0.18485757534280153,0.0,0.0
NO,7.772120285877236,0.12264293861837884,0.7308449775433093,0.5947514169102445,0.0,0.26606054395095174,0.6513108647608185,0.0,0.0
PL,1.6039295135223826,10.6556334761602,0.9421459879566918,0.08201564287121055,0.024178768928118596,0.0,0.012080955890182425,0.0,0.0
PT,4.358310235183967,0.7537011114922179,0.4662890621378844,0.2570615445941061,0.0,0.0,0.0015944675683442567,0.0,0.04128929389189139
RO,3.0037094067763475,1.3656896137706747,1.4856267340444156,0.0,0.2101777876380154,0.0,0.05813194874154657,0.0,0.0
RS,0.0,8.454358917844486,0.0,0.1825430968024374,0.0,0.0,0.0,0.0,0.0
SK,5.867940235169947,0.0,0.7061638214684882,0.0,0.0,0.0,0.0976430777643096,0.0,0.0
SI,0.7593197193193316,0.8291614096928634,0.2340262038268077,0.1516377795619628,0.0,0.0,0.0,0.0,0.0
ES,3.5632756910478447,0.19349412535539032,0.4891431495033464,0.3563450607579862,0.015002736714907188,0.0,0.012532040700161725,0.0,0.0
SE,10.738207259314706,0.011482685600004936,1.3576206430695221,0.5486556604447969,3.0162140637465127,1.48811391546486,0.0,0.16000512883257206,0.0
UA,0.0,18.808480977517345,0.5478220503475298,0.4004988474637784,0.0,0.0,0.0,0.0,0.0
UK,1.4326118042713296,0.19932827314014914,1.0021913463871712,0.0,0.0,0.0,0.029267956267483367,0.0,0.0
