Country,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$
AT,4.684436276911763,0.23084865595043874,0.822167220300988,0.21916706323975255,2.2533713938962503,0.007160528865163322,0.016111189946617477,0.0,0.0
BE,4.642867604341098,0.5900172335512344,0.47520419073098574,0.021187992169230545,0.0,0.0,0.007872266675779782,0.0,0.0
BG,3.5402497648830766,16.024616843418222,0.5476645790770124,2.901935472912721,0.0,0.0,0.2730568744791334,0.0,0.0
HR,0.7448255391540112,3.783215342630823,0.0,0.17853661994293918,0.9068043274086939,0.0,0.0,0.0,0.0
CY,1.6214043386451658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,4.423944532137535,1.807129844822891,1.1594524778365631,0.43423502982005735,0.0,0.0,0.0985159156348407,0.0,0.0
DK,4.510585667359847,0.0,1.1935043844709678,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.6414727156147002,0.7200749181637175,0.22062049337997908,0.0,0.0,0.21766763782804818,0.0,0.0
FI,11.143865072619237,0.0,1.7772110688810143,0.0955340823198415,0.0,0.004366226531859204,0.006745427815686675,0.0,0.0
FR,6.003053820006294,0.2372517157626631,0.9807666670510876,0.22831986412954622,0.0,0.0,0.01646127916549739,0.0,0.0
DE,3.6688673129623095,0.9736524267297858,1.4694670625812534,0.33790735095953905,0.0034457676234307187,0.0733217583385773,0.008814710234484201,0.009627265905464007,0.00561194991452408
EL,2.658978009892087,4.416761363809401,0.0,0.27933034620273767,0.0,0.0,0.04190564286687386,0.0,0.0
HU,3.480602883105864,0.8236746542183365,1.6401751049159328,0.03913201920403842,0.0,0.0,0.03972986949743345,0.0,0.0
IS,0.7907660183287576,0.0,0.0,0.0,0.0,0.6558137736359769,0.03596148640810487,0.0,0.0
IE,2.42148213200027,0.056961426737823416,0.6701614537593731,0.0,0.0,0.0,0.003026413564817943,0.0,0.0
IT,3.078765544487433,5.013780687779743,0.0291807449682837,2.516304569831294,0.0,7.002678524535635e-05,0.01706027555539994,0.0,0.0
LV,1.5772265177310394,6.999330987907857,0.7101735326390253,0.0,0.0,0.0,0.5437526141952606,0.0,0.0
LT,3.4970672147156248,9.128653216489976,0.3704436515889377,0.2963421561556578,0.0,0.0,0.19205116258289345,0.0,0.0
LU,3.24969261686714,0.07149343066609577,0.14926244943927622,0.0,0.0,0.0,0.0022688664694844704,0.0,0.006082493088405176
MT,3.1964581929763973,0.0,0.0,0.0,0.8633720765655342,0.0,0.0,0.0,0.0
NL,2.2521638731212823,2.253873089554037,1.3134560673549998,0.3117528894713189,0.0,0.0,0.06160343538174223,0.0,0.0
NO,3.4158676628843017,0.06366587040959533,0.2776202033028767,0.44149765720005485,0.0,0.0,0.161593346829804,0.0,0.0
PL,3.7429935876124194,11.706557322198842,0.8819157286721993,0.0,0.05778929300160708,0.0,0.010847524958601489,0.0,0.0
PT,4.839546312279382,0.715265670790143,0.03705097237261215,0.23172654659087974,0.0,0.0,0.0,0.0,0.0902818267373986
RO,1.8088087620093416,1.1715139592676376,0.8312983935064141,0.0,0.6895219280000928,0.0,0.07902000015184628,0.0,0.0
RS,0.0,12.29664064027922,0.0,0.16814350117595142,0.0,0.0,0.0,0.0,0.0
SK,5.452714781878935,0.0,1.2264055390820718,0.0,0.0,0.0,0.11156398638679874,0.0,0.0
SI,2.042733752677431,0.7461475799526613,0.4290108329616446,0.06563204336124251,0.0,0.0,0.0,0.0,0.0
ES,3.017337968394765,0.15361669989634824,0.72906258109933,0.28903995487186496,0.023811151808621898,0.0,0.008018635557675902,0.0001864798966901372,0.0
SE,6.386387332124647,0.00590875066226614,2.102770945837566,0.7689426343853442,1.7796275998502915,1.2690598980231658,0.0,0.25184340868990385,0.0
UA,0.0,11.805818956193857,0.5913152448614198,0.32457936139125776,0.0,0.0,0.0,0.0,0.0
UK,2.0020747606720795,0.25646870763998214,1.0988102845414507,0.0,0.0,0.0,0.015522079035814217,0.0,0.0
