Country,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$
AT,4.728563086174137,0.2617499260433361,0.8609063706680642,0.20155551934251714,0.9225727461975333,0.0002344729107584378,0.016569419026929606,0.0,0.0
BE,3.686753825348058,0.5758018238486896,0.675426956834017,0.01084346700454028,0.0,0.0,0.004292465649668419,0.0,0.0
BG,3.970486301272505,16.627521871057127,0.3504636756085141,2.962992072656308,0.0,0.0,0.1905121042285577,0.0,0.0
HR,1.223658713322207,3.4273045517787097,0.06962045376797481,0.0845937695705063,0.49559489420860564,0.0,0.0,0.0,0.0
CY,2.423314664739586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,4.0960936115969515,1.705734703265696,0.9805863145874787,0.24889763045278815,0.0,0.0,0.10554241491524455,0.0,0.0
DK,4.409532731023317,0.0,1.2489011323776447,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.541780603004368,0.45470364714656064,0.1221634290990447,0.0,0.0,0.2565432011079939,0.0,0.0
FI,3.9990687317983475,0.0,1.6654111297831982,0.08817817581174434,0.0,0.0024615018545878034,0.002205095411401574,0.0,0.0
FR,5.5339705730316044,0.26831758462553124,0.9449488052270428,0.2122578704711741,0.0,0.0,0.011782260756538461,0.0,0.0
DE,3.5803910694838708,1.059816641908641,1.4705254843447995,0.34130503747142127,0.04799283877951713,0.0804690791822101,0.006670197727237285,0.013524655060199358,0.0
EL,2.4296279138556205,4.123267242929097,0.0,0.27065139337850375,0.0,0.0,0.038174477133750495,0.0,0.0
HU,3.231424332008525,0.9953639369143198,0.9518253638482472,0.033510025337370436,0.0,0.0,0.047329853304972115,0.0,0.0
IS,0.7694391559873277,0.0,0.0,0.0,0.0,0.6381265567503706,0.0,0.0,0.0
IE,2.0722039996838904,0.036645066794985325,0.7792771725420173,0.0,0.0014624278383263526,0.0,0.0015749222874283798,0.0,0.0
IT,3.5854915687781133,5.139825898460097,0.2262002105313459,2.470338957901797,0.0,7.304832009408624e-05,0.017272884022247477,0.0,0.0
LV,1.3551578944898535,6.635709953271631,0.7509623134472818,0.0,0.0,0.0,0.6556988548440649,0.0,0.0
LT,3.5122893577398258,10.38669320039971,0.45769270076308144,0.28374250545058144,0.0,0.0,0.2440696538880814,0.0,0.0
LU,2.521876550281544,0.059698189387391506,0.029849094693695753,0.0,0.0,0.0,0.0014413114260195768,0.0,0.007857471967655114
MT,2.196506830529344,0.0,0.0,0.0,0.7113554267840783,0.0,0.0,0.0,0.0
NL,1.6591349405996532,2.7401191474427096,1.1983615071421607,0.25078933217162946,0.0,0.0,0.027998518750961463,0.0,0.0
NO,3.457890025439711,0.06492610453987382,0.3208564348787044,0.44038887257382175,0.0,0.0,0.07100002712625621,0.0,0.0
PL,3.9905553204345217,11.681473729890895,0.9619279459076715,0.0,0.036762087688791974,0.0,0.010331828566131079,0.0,0.0
PT,4.920805931120357,0.7034406838490352,0.03754192909639196,0.24022954318941872,0.0,0.0,0.0,0.0,0.07702400956727445
RO,1.9966277157162284,1.0921616590069212,1.1500253489219738,0.0,1.05459775752388,0.0,0.08167412334547948,0.0,0.0
RS,0.0,13.888636099753032,0.0,0.19450816474041344,0.0,0.0,0.0,0.0,0.0
SK,4.027780807033336,0.0,0.8826369460345282,0.0,0.0,0.0,0.11936368449124699,0.0,0.0
SI,2.96209493155757,0.6777304572033859,0.4254370462401616,0.04453225171309131,0.0,0.0,0.0,0.0,0.0
ES,2.8823935575530917,0.13804837937028544,0.6634576258840041,0.27267136779565687,0.0,0.0,0.0074578131965216165,0.0,0.0
SE,4.91979370193679,0.005040350978977778,2.2963290864950117,0.8022990091522724,0.5327392114789654,1.14131210233953,0.0,0.2763208727025098,0.0
UA,0.0,10.14287479890187,0.5598372705072022,0.4813034483182005,0.0,0.0,0.0,0.0,0.0
UK,1.6363419689606205,0.27868985032298454,1.128380841087038,0.0,0.0,0.0,0.007662903965635187,0.0,0.0
