Country,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$
AT,4.747718348873193,0.17110076181274392,0.7618127438943277,0.220861410419694,2.779544032572921,0.0052955819443569275,0.015517582668680517,0.0,0.0
BE,2.5743616164162826,0.7431118081007397,0.4731268011779426,0.038704225897406866,0.0,0.0,0.012629309022865813,0.0,0.0
BG,3.7866255381259117,15.368347747039536,1.0713178598495356,2.584067585657418,0.0,0.0,0.15426525317210624,0.0,0.0
HR,0.8866387073210665,3.937660314941458,0.0,0.17369638501614168,0.3877994819544674,0.0,0.0,0.0,0.0
CY,1.5629898914541225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,3.9520111121462875,1.7543639736086525,1.0705434957524838,0.6070009909459724,0.0,0.0,0.09613022893392847,0.0,0.0
DK,4.383646360817342,0.0,1.1329288023390296,0.04644691406085061,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.7445489601493204,0.3503115857346554,0.37945860439148416,0.0,0.0,0.20006075716565083,0.0,0.0
FI,11.244247579475521,0.0,1.6784132335071147,0.0921171259456705,0.0,0.004364130505794886,0.011236982739471862,0.0,0.0
FR,6.025336465989908,0.20903846978221535,1.0147340951224395,0.23312414375064963,0.0,0.0,0.02219715418389931,0.0,0.0
DE,3.3809036179194303,0.8640805623301069,1.4125635703209103,0.33660991916401695,0.0034206618967415683,0.0565944981410143,0.012959596355028153,0.007257221335864432,0.001158026643235991
EL,2.790830120989896,5.166557545460135,0.0,0.30369054753122815,0.0,0.0,0.04320637091001459,0.0,0.0
HU,3.3095303008060175,0.7567337066319932,1.06274772979888,0.10573300058022078,0.0,0.0,0.04079521203024338,0.0,0.0
IS,4.3259007444343744,0.0,0.45491252631616064,0.0,0.0,0.5811595685031261,0.08392959787848545,0.0,0.0
IE,2.612929679673163,0.06723191076279253,0.6414934094125738,0.0,0.0,0.0,0.0064043045430169955,0.0,0.0
IT,3.3972756728064026,5.407043094392472,0.07379644505367886,2.6805676452783826,0.0,7.141015568455337e-05,0.018164958352258263,0.0,0.0
LV,1.3883564726078768,6.685007250120835,0.800117501958366,0.0,0.0,0.0,0.23292054867581127,0.0,0.0
LT,3.4050394993973647,8.025824815567134,0.5823467012795613,0.46200026730273486,0.0,0.0,0.18115178581104102,0.0,0.0
LU,3.9108563581269684,0.038243830930354536,0.3679746262733574,0.0,0.0,0.0,0.0031398030777276265,0.0,0.0029853865329213503
MT,3.02888871006679,0.0,0.0,0.0,0.5509508865105549,0.0,0.0,0.0,0.0
NL,1.571671593634536,1.9416312196127508,1.433618812849155,0.550604448266332,0.0,0.0,0.24378007147176975,0.0,0.0
NO,3.736787561812472,0.1255564726157741,0.2372287485549174,0.5765790422755258,0.0,0.2723811397300422,0.39468751291843246,0.0,0.0
PL,3.1453238782954576,11.30133528472014,0.9685540814417916,0.10079192210675059,0.00960463970989697,0.0,0.011939538982342355,0.0,0.0
PT,5.6583222103085555,0.7470479677964587,0.401939873149355,0.2659326823900624,0.0,0.0,0.0016243047361893016,0.0,0.06093031487147311
RO,1.8940568889236835,1.2501178768991525,1.214848713278504,0.0,0.8940258504781204,0.0,0.07138842479493374,0.0,0.0
RS,0.0,9.80210529359433,0.0,0.19310830536102733,0.0,0.0,0.0,0.0,0.0
SK,6.08071396367756,0.0,1.1524606585647443,0.0,0.0,0.0,0.10806360573571462,0.0,0.0
SI,1.3122299950064824,0.8188338074884439,0.37325398679695626,0.12065758671082953,0.0,0.0,0.0,0.0,0.0
ES,2.965906883189034,0.18251590162137793,0.7138592572051025,0.29664516619151315,0.011500466762655426,0.0,0.009693304229876184,5.63564199411406e-05,0.0
SE,8.204779050231421,0.03221028105881173,1.6656320603719479,0.5109283504478579,2.048579809984564,1.4394330990533653,0.0,0.2544181941946124,0.0
UA,0.0,13.209490274238734,0.5486150479682482,0.3865007865723301,0.0,0.0,0.0,0.0,0.0
UK,1.3843906725992832,0.23551724528116857,1.058989426816885,0.0,0.0,0.0,0.02188165695848216,0.0,0.0
