Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
A1,4550,30,6.74,20,15,5,85,150,0.87,4.76
A2,3005,60.86,2.4,35,27,4,26,200,0.17,4.51
A3,2040,14.85,1.7,90,25,5,26,500,0.27,4.19
A4,3370,99.4,3.25,25.3,54,3,45,222,0.21,3.78
A5,3920,112.6,4.93,11.4,71.7,2,50,100,0.25,4.11
weights,0.026,0.154,0.089,0.199,0.115,0.039,0.08,0.123,0.172,0.003
type,-1,-1,-1,1,1,1,-1,-1,1,1
